,Path,File_Name,Title,Year,Rating,Resolution,Aspect_Ratio,Detailed_Aspect_Ratio,File Size,Run_Time(Minutes)
0,//nubian/archives/movies/movies/Action & Adventure/I Love Trouble [PG].mp4,I Love Trouble [PG].mp4,I Love Trouble,,PG,700x300,2.3333333333333335,718.0x342.0,664,122.75664111111111
1,//nubian/archives/movies/movies/Action & Adventure/Diehard (1988) [CF].m4v,Diehard (1988) [CF].m4v,Diehard,1988,CF,700x400,1.75,706.0x368.0,789,126.59535777777778
2,//nubian/archives/movies/movies/Action & Adventure/Jurassic World (2015) [PG-13].m4v,Jurassic World (2015) [PG-13].m4v,Jurassic World,2015,PG-13,1900x1000,1.9,1920.0x960.0,7161,124.47434962962963
3,//nubian/archives/movies/movies/Action & Adventure/Killers [PG-13].m4v,Killers [PG-13].m4v,Killers,,PG-13,700x400,1.75,720.0x384.0,700,96.24148148148149
4,//nubian/archives/movies/movies/Action & Adventure/Demolition Man (1993) [R].m4v,Demolition Man (1993) [R].m4v,Demolition Man,1993,R,700x500,1.4,716.0x478.0,1469,114.97291740740742
5,//nubian/archives/movies/movies/Action & Adventure/Alien Vs Predator (2004) [CF].m4v,Alien Vs Predator (2004) [CF].m4v,Alien Vs Predator,2004,CF,700x400,1.75,720.0x366.0,604,99.94317666666667
6,//nubian/archives/movies/movies/Action & Adventure/Terminator Dark Fate (2019) [R].m4v,Terminator Dark Fate (2019) [R].m4v,Terminator Dark Fate,2019,R,700x400,1.75,720.0x356.0,1219,128.11465296296296
7,//nubian/archives/movies/movies/Action & Adventure/Baby Driver (2017) [R].mp4,Baby Driver (2017) [R].mp4,Baby Driver,2017,R,700x400,1.75,720.0x360.0,652,112.6514275925926
8,//nubian/archives/movies/movies/Action & Adventure/Mission Impossible 5- Rogue Nation [PG-13].m4v,Mission Impossible 5- Rogue Nation [PG-13].m4v,Mission Impossible 5- Rogue Nation,,PG-13,700x400,1.75,720.0x360.0,732,131.54669277777776
9,//nubian/archives/movies/movies/Action & Adventure/Transformers 4 Age of Extinction [PG-13].m4v,Transformers 4 Age of Extinction [PG-13].m4v,Transformers 4 Age of Extinction,,PG-13,1900x800,2.375,1920.0x800.0,10175,165.1219011111111
10,//nubian/archives/movies/movies/Action & Adventure/9 (2009) [PG-13].m4v,9 (2009) [PG-13].m4v,9,2009,PG-13,700x500,1.4,720.0x464.0,535,79.38819722222222
11,"//nubian/archives/movies/movies/Action & Adventure/Woman King, The (2022) [PG-13].m4v","Woman King, The (2022) [PG-13].m4v","Woman King, The",2022,PG-13,1900x800,2.375,1920.0x804.0,3435,134.8680662962963
12,//nubian/archives/movies/movies/Action & Adventure/Gettysburg (1993) [PG] - Part 2.m4v,Gettysburg (1993) [PG] - Part 2.m4v,Gettysburg   - Part 2,1993,PG,700x500,1.4,720.0x480.0,1528,112.25853685185186
13,//nubian/archives/movies/movies/Action & Adventure/Jumanji 3 The Next Level [PG-13].m4v,Jumanji 3 The Next Level [PG-13].m4v,Jumanji 3 The Next Level,,PG-13,1900x800,2.375,1920.0x804.0,3374,123.17304962962963
14,//nubian/archives/movies/movies/Action & Adventure/Shang-Chi and the Legend of the Ten Rings (2021) [PG-13].m4v,Shang-Chi and the Legend of the Ten Rings (2021) [PG-13].m4v,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,1900x800,2.375,1920.0x804.0,3761,132.34471222222223
15,//nubian/archives/movies/movies/Action & Adventure/2012 (2009) [PG-13].m4v,2012 (2009) [PG-13].m4v,2012,2009,PG-13,1900x800,2.375,1920.0x800.0,3995,157.82433296296296
16,"//nubian/archives/movies/movies/Action & Adventure/Amazing Spider Man, The (2012) [PG-13].m4v","Amazing Spider Man, The (2012) [PG-13].m4v","Amazing Spider Man, The",2012,PG-13,700x400,1.75,720.0x360.0,661,136.29977444444444
17,//nubian/archives/movies/movies/Action & Adventure/Rocky III (1982) [PG].mp4,Rocky III (1982) [PG].mp4,Rocky III,1982,PG,700x400,1.75,720.0x394.0,1017,99.5550111111111
18,//nubian/archives/movies/movies/Action & Adventure/Bandits [PG-13].m4v,Bandits [PG-13].m4v,Bandits,,PG-13,700x400,1.75,720.0x368.0,930,122.46771314814814
19,//nubian/archives/movies/movies/Action & Adventure/Space Cowboys (2000) [PG-13].m4v,Space Cowboys (2000) [PG-13].m4v,Space Cowboys,2000,PG-13,500x200,2.5,480.0x208.0,730,130.43641722222222
20,//nubian/archives/movies/movies/Action & Adventure/Kindergarten Cop (1990) [PG-13].mp4,Kindergarten Cop (1990) [PG-13].mp4,Kindergarten Cop,1990,PG-13,600x500,1.2,640.0x480.0,1226,111.18955069444443
21,//nubian/archives/movies/movies/Action & Adventure/Last Action Hero (1993) [PG-13].m4v,Last Action Hero (1993) [PG-13].m4v,Last Action Hero,1993,PG-13,700x400,1.75,720.0x356.0,1057,130.87685685185184
22,//nubian/archives/movies/movies/Action & Adventure/Avatar - The Way Of Water (2022) [PG-13].m4v,Avatar - The Way Of Water (2022) [PG-13].m4v,Avatar - The Way Of Water,2022,PG-13,1900x1000,1.9,1920.0x1036.0,10941,192.6257662962963
23,//nubian/archives/movies/movies/Action & Adventure/White House Down [PG-13].m4v,White House Down [PG-13].m4v,White House Down,,PG-13,700x400,1.75,720.0x362.0,806,131.56643407407407
24,//nubian/archives/movies/movies/Action & Adventure/Black Panther - Wakanda Forever (2022) [PG-13].m4v,Black Panther - Wakanda Forever (2022) [PG-13].m4v,Black Panther - Wakanda Forever,2022,PG-13,1900x800,2.375,1920.0x804.0,3771,161.31114962962963
25,"//nubian/archives/movies/movies/Action & Adventure/Man From Uncle, The [PG-13].m4v","Man From Uncle, The [PG-13].m4v","Man From Uncle, The",,PG-13,700x400,1.75,720.0x360.0,592,116.49971648148149
26,//nubian/archives/movies/movies/Action & Adventure/Hero (2002) [PG-13].m4v,Hero (2002) [PG-13].m4v,Hero,2002,PG-13,700x400,1.75,720.0x364.0,1023,99.18255537037038
27,//nubian/archives/movies/movies/Action & Adventure/Payback [R].avi,Payback [R].avi,Payback,,R,600x300,2.0,576.0x288.0,696,101.18952285618953
28,//nubian/archives/movies/movies/Action & Adventure/Superman 4 [PG].m4v,Superman 4 [PG].m4v,Superman 4,,PG,600x300,2.0,640.0x272.0,644,86.16133333333333
29,//nubian/archives/movies/movies/Action & Adventure/A Good Day To Die Hard (2013) [R].m4v,A Good Day To Die Hard (2013) [R].m4v,A Good Day To Die Hard,2013,R,700x500,1.4,720.0x468.0,1004,97.65088629629629
30,//nubian/archives/movies/movies/Action & Adventure/Air Force One (1997) [Edited].m4v,Air Force One (1997) [Edited].m4v,Air Force One,1997,Edited,1900x800,2.375,1920.0x800.0,3125,124.39930555555556
31,//nubian/archives/movies/movies/Action & Adventure/Green Lantern (2011) [PG-13].m4v,Green Lantern (2011) [PG-13].m4v,Green Lantern,2011,PG-13,1900x800,2.375,1920.0x800.0,3184,123.65756148148148
32,"//nubian/archives/movies/movies/Action & Adventure/Great Wall, The [PG-13].mp4","Great Wall, The [PG-13].mp4","Great Wall, The",,PG-13,700x400,1.75,720.0x364.0,718,103.05517444444445
33,//nubian/archives/movies/movies/Action & Adventure/Pirates Of The Carribean - The Curse of the Black Pearl (2003) [PG-13].m4v,Pirates Of The Carribean - The Curse of the Black Pearl (2003) [PG-13].m4v,Pirates Of The Carribean - The Curse of the Black Pearl,2003,PG-13,700x400,1.75,716.0x360.0,1504,143.1913812962963
34,//nubian/archives/movies/movies/Action & Adventure/Blackhawk Down (2001) [CF].m4v,Blackhawk Down (2001) [CF].m4v,Blackhawk Down,2001,CF,700x400,1.75,708.0x360.0,1229,138.57121055555555
35,"//nubian/archives/movies/movies/Action & Adventure/Thin Red Line, The (1998) [R].m4v","Thin Red Line, The (1998) [R].m4v","Thin Red Line, The",1998,R,1900x800,2.375,1920.0x818.0,6870,170.7845024074074
36,//nubian/archives/movies/movies/Action & Adventure/Dick Tracy (1990) [PG].m4v,Dick Tracy (1990) [PG].m4v,Dick Tracy,1990,PG,700x500,1.4,716.0x460.0,973,105.09177703703703
